id,university,universityNative,country,city,lat,lng,region,website,established,program_level,program_name,program_duration
1000,Technical University of Munich,Technische Universität München,Germany,Munich,48.1351,11.5820,europe,https://www.tum.de,1868,bachelor,Land Management (partial degree),3
1000,Technical University of Munich,Technische Universität München,Germany,Munich,48.1351,11.5820,europe,https://www.tum.de,1868,master,Land Management and Geospatial Science,2
1001,Anhalt University of Applied Sciences,Hochschule Anhalt,Germany,Bernburg,51.7990,11.7364,europe,https://www.hs-anhalt.de,1991,master,Sustainable Land Management and Conservation,2
1010,Wageningen University & Research,Universiteit Wageningen,Netherlands,Wageningen,51.9856,5.6639,europe,https://www.wur.nl,1918,master,International Land and Water Management,2
1011,University of Twente,Universiteit Twente,Netherlands,Enschede,52.2396,6.8497,europe,https://www.utwente.nl,1961,master,Track:Urban and Land Futures (Geo-Information Science and Earth Observation),2
1012,Erasmus University Rotterdam,Erasmus Universiteit Rotterdam,Netherlands,Rotterdam,51.9172,4.5296,europe,https://www.eur.nl,1913,master,"Urban Housing and Land Justice: Equitable Access to Sustainable Land, Housing & Services",1
1013,Radboud University,Radboud Universiteit,Netherlands,Nijmegen,51.8229,5.8641,europe,https://www.ru.nl,1923,master,"Spatial Planning - Planning, Land and Real Estate Development",1
1020,Aalborg University,Aalborg Universitet,Denmark,Aalborg,57.0488,9.9217,europe,https://www.aau.dk,1974,bachelor,"Surveying, Planning and Land Management",3
1020,Aalborg University,Aalborg Universitet,Denmark,Aalborg,57.0488,9.9217,europe,https://www.aau.dk,1974,master,"Surveying, Planning and Land Management",2
1030,Ghent University,Universiteit Gent,Belgium,Ghent,51.0543,3.7174,europe,https://www.ugent.be,1817,master,Sustainable Land Management,2
1031,Free University of Brussels,Vrije Universiteit Brussel,Belgium,Etterbeek,50.8223,4.3949,europe,https://www.vub.be,1970,master,Sustainable Land Management,2
1040,Paris-Saclay University,Université Paris-Saclay,France,Gif-sur-Yvette,48.7094,2.1712,europe,https://www.universite-paris-saclay.fr,2020,master,Land Management and Community Development,2
1050,University of Granada,Universidad de Granada,Spain,Granada,37.1773,,europe,https://www.ugr.es,1531,bachelor,Geography and Land Management,4
1051,University of the Basque Country,Universidad del País Vasco,Spain,Leioa,43.3317,,europe,https://www.ehu.eus,1980,bachelor,Geography and Land Management,4
1052,University of Santiago de Compostela,Universidade de Santiago de Compostela,Spain,Santiago de Compostela,42.8805,,europe,https://www.usc.es,1495,bachelor,Geography and Land Management,4
1053,Complutense University of Madrid,Universidad Complutense de Madrid,Spain,Madrid,40.4497,,europe,https://www.ucm.es,1499,bachelor,Geography and Land Management,4
1054,University of León,Universidad de León,Spain,León,42.6055,,europe,https://www.unileon.es,1979,bachelor,Geography and Land Management,4
1055,Autonomous University of Madrid,Universidad Autónoma de Madrid,Spain,Madrid,40.5447,,europe,https://www.uam.es,1968,bachelor,Geography and Land Management,4
1060,Istanbul Technical University,İstanbul Teknik Üniversitesi,Turkey,Istanbul,41.1055,29.0249,europe,https://web.itu.edu.tr,1773,master,Land Management,2
1061,Mersin University,Mersin Üniversitesi,Turkey,Mersin,36.8121,34.6415,europe,https://www.mersin.edu.tr,1992,master,"Land Management, Real Estate Appraisal and Development (Interdisciplinary)",2
1070,University of Bologna,Università di Bologna,Italy,Bologna,44.4949,11.3426,europe,https://www.unibo.it,1088,bachelor,Land and Agro-forestry Technologies,3
1071,University of Rome La Sapienza,Sapienza Università di Roma,Italy,Rome,41.9028,12.4964,europe,https://www.uniroma1.it,1303,master,"Engineering Geology, Land Use Management and Georisks",2
1071,University of Rome La Sapienza,Sapienza Università di Roma,Italy,Rome,41.9028,12.4964,europe,https://www.uniroma1.it,1303,master,Land and Environmental Engineering,2
1072,Technical University of Milan,Politecnico di Milano,Italy,Milan,45.4642,9.1900,europe,https://www.polimi.it,1863,bachelor,Environmental and Land Planning Engineering,3
1072,Technical University of Milan,Politecnico di Milano,Italy,Milan,45.4642,9.1900,europe,https://www.polimi.it,1863,master,Land and Environmental Engineering,2
1073,University of Milan-Bicocca,Università degli Studi di Milano-Bicocca,Italy,Milan,45.5145,9.2122,europe,https://www.unimib.it,1998,master,Land and Environment Science and Technology,2
1074,University of Padua,Università degli Studi di Padova,Italy,Padua,45.4064,11.8768,europe,https://www.unipd.it,1222,master,Land and Environment Science and Technology,2
1075,University of Naples Federico II,Università degli Studi di Napoli Federico II,Italy,Naples,40.8518,14.2681,europe,https://www.unina.it,1224,master,Land and Environmental Engineering,2
1076,University of Pavia,Università degli Studi di Pavia,Italy,Pavia,45.1853,9.1566,europe,https://www.unipv.it,1361,master,Land and Environmental Engineering,2
1077,University of Trento,Università degli Studi di Trento,Italy,Trento,46.0664,11.1257,europe,https://www.unitn.it,1962,master,Land and Environmental Engineering,2
1078,University of Catania,Università degli Studi di Catania,Italy,Catania,37.5079,15.0830,europe,https://www.unict.it,1434,bachelor,Environmental Sustainability and Land Management,3
1078,University of Catania,Università degli Studi di Catania,Italy,Catania,37.5079,15.0830,europe,https://www.unict.it,1434,master,Land and Environmental Engineering,2
1079,University of Perugia,Università degli Studi di Perugia,Italy,Perugia,43.1107,12.3908,europe,https://www.unipg.it,1308,master,Land and Environmental Engineering,2
1080,Lithuanian College of Engineering,Lietuvos inžinerijos kolegija,Lithuania,Vilnius,54.6872,25.2797,europe,https://www.lik.lt,2000,bachelor,Land Use Planning and Management,4
1081,Vytautas Magnus University Agriculture Academy,VDU Žemės ūkio akademija,Lithuania,Kaunas,54.8914,23.9322,europe,https://www.vdu.lt,1922,bachelor,Land Use Planning,4
1082,Kaunas Forestry and Environmental Engineering University of Applied Sciences,Kauno miškų ir aplinkos inžinerijos kolegija,Lithuania,Girionys,54.8385,24.0329,europe,https://www.kmaik.lt,1920,bachelor,Land Management,3
1090,Lviv Polytechnic National University,Національний університет Львівська політехніка,Ukraine,Lviv,49.8397,24.0297,europe,https://lpnu.ua,1844,bachelor,Geodesy and Land Management,4
1091,Kyiv Aviation Institute,Національний авіаційний університет,Ukraine,Kyiv,50.4398,30.4281,europe,https://nau.edu.ua,1933,master,Land Management and Cadastre,1
1100,SSUGT,СГУГиТ,Russia,Novosibirsk,55.0084,82.9357,europe,https://sgugit.ru,1933,master,Land Management and Cadastre,1
1101,Saint Petersburg State University of Architecture and Civil Engineering,Санкт-Петербургский государственный архитектурно-строительный университет,Russia,Saint Petersburg,59.9311,30.3609,europe,https://www.spbgasu.ru,1832,bachelor,Urban Cadastre,4
1101,Saint Petersburg State University of Architecture and Civil Engineering,Санкт-Петербургский государственный архитектурно-строительный университет,Russia,Saint Petersburg,59.9311,30.3609,europe,https://www.spbgasu.ru,1832,master,Real Estate Cadastre of Urbanized Territories,2
1102,State University of Land Use Planning,Государственный университет по землеустройству,Russia,Moscow,55.7558,37.6173,europe,https://www.guz.ru,1779,bachelor,Land Management and Cadastres,4
1102,State University of Land Use Planning,Государственный университет по землеустройству,Russia,Moscow,55.7558,37.6173,europe,https://www.guz.ru,1779,master,Land Management and Cadastres,2
1103,RUDN University,Российский университет дружбы народов,Russia,Moscow,55.6502,37.6685,europe,https://www.rudn.ru,1960,bachelor,Land Management and Cadastres,4
1103,RUDN University,Российский университет дружбы народов,Russia,Moscow,55.6502,37.6685,europe,https://www.rudn.ru,1960,master,Land Management and Cadastres,2
1104,Kazan Federal University,Казанский федеральный университет,Russia,Kazan,55.7887,49.1221,europe,https://kpfu.ru,1804,bachelor,Land Development and Land Registry,4
1104,Kazan Federal University,Казанский федеральный университет,Russia,Kazan,55.7887,49.1221,europe,https://kpfu.ru,1804,master,Land Development and Land Registry,2
1105,Tomsk Polytechnic University,Томский политехнический университет,Russia,Tomsk,56.4985,84.9714,asia,https://tpu.ru,1896,master,Cadastre and Land Management,2
1106,Saint Petersburg State University,Санкт-Петербургский государственный университет,Russia,Saint Petersburg,59.9386,30.3141,europe,https://spbu.ru,1724,master,Management of Real Estate Objects and Development of Territories,2
1110,Belarusian State Agricultural Academy,Белорусская государственная сельскохозяйственная академия,Belarus,Gorki,54.2858,30.9952,europe,https://baa.by,1840,bachelor,Land Management,5
1110,Belarusian State Agricultural Academy,Белорусская государственная сельскохозяйственная академия,Belarus,Gorki,54.2858,30.9952,europe,https://baa.by,1840,bachelor,Land Cadastre,5
1111,Polotsk State University,Полоцкий государственный университет,Belarus,Novopolotsk,55.4879,28.7856,europe,https://www.psu.by,1968,bachelor,Land Cadastre,5
1120,South East Technological University,South East Technological University,Ireland,Waterford,52.2593,,europe,https://www.setu.ie,2022,bachelor,Land Management in Agriculture (Additional Degree),1
1130,Estonian University of Life Sciences,Eesti Maaülikool,Estonia,Tartu,58.3829,26.6982,europe,https://www.emu.ee,1951,bachelor,"Land Surveying, Property and Land Management",3
1130,Estonian University of Life Sciences,Eesti Maaülikool,Estonia,Tartu,58.3829,26.6982,europe,https://www.emu.ee,1951,master,"Land Surveying, Property and Land Management",2
1140,Technical University of Moldova,Universitatea Tehnică a Moldovei,Moldova,Chisinau,47.0105,28.8638,europe,https://utm.md,1964,master,Real Estate and Cadastral Law,2
1150,Uppsala University,Uppsala universitet,Sweden,Uppsala,59.8586,17.6389,europe,https://www.uu.se,1477,bachelor,Land Management,3
1151,Lund University,Lunds universitet,Sweden,Lund,55.7047,13.1910,europe,https://www.lu.se,1666,master,Land Surveying,2
1170,University of Belgrade,Универзитет у Београду,Serbia,Belgrade,44.8176,20.4633,europe,https://www.bg.ac.rs,1808,master,Land Law and Economy,2
1180,Czech University of Life Sciences Prague,Česká zemědělská univerzita v Praze,Czech Republic,Prague,50.1279,14.3727,europe,https://www.czu.cz,1906,master,Land and Water Management,2
1190,Óbuda University,Óbudai Egyetem,Hungary,Budapest,47.5288,19.0526,europe,https://www.uni-obuda.hu,2010,bachelor,Land Surveying and Land Management Engineering,3
1200,Bangor University,Prifysgol Bangor,United Kingdom,Bangor,53.2274,,europe,https://www.bangor.ac.uk,1884,master,Conservation and Land Management,1
1201,University of Edinburgh,University of Edinburgh,United Kingdom,Edinburgh,55.9444,,europe,https://www.ed.ac.uk,1583,master,Sustainable Lands and Cities,1
1202,Harper Adams University,Harper Adams University,United Kingdom,Newport,52.7794,,europe,https://www.harper-adams.ac.uk,1901,master,Land & Property Management,1
1202,Harper Adams University,Harper Adams University,United Kingdom,Newport,52.7794,,europe,https://www.harper-adams.ac.uk,1901,master,Rural Estate and Land Management,1
1203,Royal Agricultural University,Royal Agricultural University,United Kingdom,Cirencester,51.7112,,europe,https://www.rau.ac.uk,1845,bachelor,Rural Land Management,3
1204,University of Reading,University of Reading,United Kingdom,Reading,51.4414,,europe,https://www.reading.ac.uk,1892,bachelor,Sustainable Land Management,3
1205,University of Cambridge,University of Cambridge,United Kingdom,Cambridge,52.2043,0.1218,europe,https://www.cam.ac.uk,1209,bachelor,Land Economy,3
1205,University of Cambridge,University of Cambridge,United Kingdom,Cambridge,52.2043,0.1218,europe,https://www.cam.ac.uk,1209,master,Land Economy,1
1210,University of West Attica,Πανεπιστήμιο Δυτικής Αττικής,Greece,Athens,38.0006,23.6752,europe,https://www.uniwa.gr,2018,master,Land Management & Real Estate,2
